Date,OECD Economic Growth(%)
2000-Q1,4.348250288
2000-Q2,4.881109321
2000-Q3,4.186838711
2000-Q4,3.417890495
2001-Q1,2.641797635
2001-Q2,1.511342138
2001-Q3,0.905325821
2001-Q4,0.468030269
2002-Q1,0.775503516
2002-Q2,1.436285358
2002-Q3,2.038308252
2002-Q4,2.226981973
2003-Q1,1.854118051
2003-Q2,1.570452756
2003-Q3,2.121756248
2003-Q4,2.870938015
2004-Q1,3.423273606
2004-Q2,3.605162279
2004-Q3,3.163497813
2004-Q4,2.798848055
2005-Q1,2.794806089
2005-Q2,2.772944676
2005-Q3,3.069916587
2005-Q4,3.123059148
2006-Q1,3.417354867
2006-Q2,3.442035776
2006-Q3,2.895139733
2006-Q4,3.123910382
2007-Q1,2.764373475
2007-Q2,2.735276172
2007-Q3,2.855388458
2007-Q4,2.568719114
2008-Q1,2.091859151
2008-Q2,1.413709359
2008-Q3,0.408573451
2008-Q4,-2.287717028
2009-Q1,-4.808002743
2009-Q2,-4.617744302
2009-Q3,-3.552707328
2009-Q4,-0.683805241
2010-Q1,2.31745043
2010-Q2,3.253234084
2010-Q3,3.491106972
2010-Q4,3.137673427
2011-Q1,2.843579243
2011-Q2,2.092555382
2011-Q3,1.826705925
2011-Q4,1.702598745
2012-Q1,1.936923823
2012-Q2,1.670629762
2012-Q3,1.228235395
2012-Q4,0.848881644
2013-Q1,0.91931537
2013-Q2,1.39674611
2013-Q3,1.995834372
2013-Q4,2.508935444
2014-Q1,2.254140024
2014-Q2,2.154561537
2014-Q3,2.212826801
2014-Q4,2.196679561
2015-Q1,2.686830777
2015-Q2,2.753317842
2015-Q3,2.481429837
2015-Q4,2.245510986
2016-Q1,1.928317576
2016-Q2,1.741389549
2016-Q3,1.639788172
2016-Q4,2.154335471
2017-Q1,2.320900475
2017-Q2,2.676595392
2017-Q3,3.017379714
2017-Q4,3.049933561
2018-Q1,2.950993359
2018-Q2,2.740161901
2018-Q3,2.237596226
2018-Q4,1.554059878
2019-Q1,1.526689388
2019-Q2,1.664549018
2019-Q3,1.994220865
2019-Q4,1.886473763
2020-Q1,-0.413667488
2020-Q2,-10.9753535
2020-Q3,-3.247747028
2020-Q4,-2.152462404
2021-Q1,0.476608762
2021-Q2,13.68712385
2021-Q3,5.266564514
2021-Q4,5.480948864
2022-Q1,4.660035506
2022-Q2,3.315729229
2022-Q3,2.533389573
2022-Q4,1.382973178
2023-Q1,1.680910837
2023-Q2,1.669603518
2023-Q3,1.652273781
2023-Q4,1.72041487
2024-Q1,1.7
